key,group,short_name,title,year,status,reasoning_topology,embodiment,byzantine_model,fault_bound,aggregation_mechanism,graph_condition,actuation_gate,message_format,bandwidth_accounted,contested_channel,determinism_evaluated,evaluation_setup,key_claim,does_not_do,A1,A2,A3,A4,A5,A6,A7,A8,A9
2410.11387v3,LLM-per-robot / UAV swarm,LLM2Swarm,"LLM2Swarm: Robot Swarms that Responsively Reason, Plan, and Collaborate through LLMs",2024-10-15,[3] cited,"One LLM instance per robot (direct integration, simulated on-device), plus a separate powerful LLM used offline/on-demand by a human designer for controller synthesis (indirect integration)","Simulated Pi-puck robots in ARGoS simulator; preliminary hardware test running TinyLlama on a Raspberry Pi 5 (token-speed test only, not full showcase)","Discusses 'Byzantine robots' (discrepancy between intended and actual behavior, e.g., broken parts or malicious control) only as a future challenge; showcases only simulate a sensor fault (one robot senses only weeds), not adversarial/malicious LLM behavior; identities of faulty robots are known to the system, not hidden",none stated,"Robots exchange free-text observations/messages and an LLM verbally reasons over them to reach a collective estimate (e.g., 'more crops than weeds'); no formal vote, trimming, or weighting scheme described",not analyzed,"none — LLM output (e.g., extracted target coordinates) is used directly to drive robot navigation actions; synthesized controllers pass through syntax/logic/security LLM-based checks before deployment, but no deterministic runtime safety envelope on direct-integration outputs",free-form natural language transcript (inter-robot messages and human-robot prompts/responses),"no — paper only qualitatively discusses token-limit/verbosity concerns as a scalability challenge, without measuring tokens or bits per round","no — partitioning into disconnected subswarms is discussed as a future challenge (Section 5.3), with blockchain proposed as a possible future fix, but not modeled or tested in any showcase; no jamming or link degradation modeled",no — no measurement of output repeatability/consistency across seeds or runs is reported,"Qualitative proof-of-concept showcases in ARGoS simulation (GPT-4o per robot) for controller synthesis, anomaly detection (no-anomaly, self-diagnosis, peer-diagnosis, environmental-diagnosis), and human-swarm inform/instruct interaction; no systematic quantitative performance metrics","Integrating LLMs into robot swarms (indirectly for controller synthesis, directly for on-device robot reasoning/collaboration) can reduce development effort, enable natural-language robot-robot and human-swarm interaction, and detect diverse anomalies without prior knowledge of their nature","The paper does not model an adversarial or arbitrary Byzantine reasoning layer, define any fault-tolerance bound, or specify a receiver-side filtering/quorum mechanism for combining peer LLM outputs—its 'peer diagnosis' showcase only detects a benign sensor fault via free-text discussion, not malicious/colluding agents. It also has no deterministic actuation gate checking LLM outputs before they reach actuators, no communication-graph or bandwidth analysis, and no modeling of jamming, link degradation, or partitioning (partitioning is flagged only as a future open problem), nor any test of output determinism across runs.",2,1,1,0,0,0,0,0,0
2508.12043v1,LLM-per-robot / UAV swarm,"Talk Less, Fly Lighter (UAV Semantic Compression)","Talk Less, Fly Lighter: Autonomous Semantic Compression for UAV Swarm Communication via LLMs",2025-08-16,NEW — found by gap search,"One LLM instance per UAV (each UAV role-prompted as commander/relay/executor), no centralized supervisor, no debate among LLMs","UAV swarm sim with 2D grid dynamics, communication range/topology, and multi-hop relay model (not text-only, not hardware)","none modeled; all LLMs are cooperative and protocol-following, no adversarial, hallucinating-but-honest, or colluding agents considered",none stated,"none; messages are compressed/forwarded point-to-point, no peer-message combination, voting, or trimming across UAVs","scenario-specific fixed topologies: point-to-point, triangular, star (complex), and hierarchical relay with radius rc=7 grids and kmax=4 neighbors (extreme)",none; compressed LLM output (Mzip) is parsed and executed directly by receiving UAVs with no deterministic safety/schema check before movement actuation,free-form natural language JSON-wrapped instruction that is itself compressed by the LLM (not a typed packet or latent vector),yes: Compression Ratio (byte-length ratio) and Bandwidth Utilization (bits transmitted / bandwidth*time) explicitly computed per model/scenario,"no; only distance-based connectivity/dropout (standby if never connected) modeled, no jamming, adversarial interference, or explicit link degradation/partition simulated","no; only stochastic variation from random initial positions across 10 repeated runs (mean/std reported), not repeatability of LLM output for fixed input","4 simulated 2D environments (simple/standard/complex/extreme, 2-8 UAVs) comparing 9 LLMs on CR/SP/BU/SR, plus ablations on environment complexity and swarm size (2-16 UAVs) using GPT-4o","LLM-driven UAV swarms can autonomously compress task instructions to reduce communication load while largely preserving semantic fidelity and task success, though aggressive compression trades off success rate","The paper assumes fully cooperative, non-adversarial LLM agents with no receiver-side verification, voting, or Byzantine filtering of peer messages, and no explicit fault-tolerance bound. It also never models jamming/link degradation, never gates LLM-generated instructions through a deterministic safety envelope before actuation, and never tests output determinism/repeatability across seeds.",2,1,0,0,1,0,1,0,0
2605.03788v1,LLM-per-robot / UAV swarm,Web-of-Drones MCP Agent,"Say the Mission, Execute the Swarm: Agent-Enhanced LLM Reasoning in the Web-of-Drones",2026-05-05,[9] cited,Single centralized LLM Agent Core reasons and issues tool calls for the whole swarm; no per-vehicle LLM instances and no multi-agent debate.,"UAV swarm sim: ArduPilot SITL multirotors with MAVLink telemetry/physics, 10 drones, WoT/MCP comm layer (UAV/vehicle sim with dynamics+comm model).","none — single trusted LLM agent; no adversarial, hallucinating-peer, colluding, or insider-injection model considered.",none stated,none — no peer LLM outputs to aggregate; single-agent tool-call loop with Agent Core mediation and guardrail prompts.,not analyzed,"Partial: Servient validates action inputs/state transitions (e.g., alt>0, forces GUIDED before takeoff) but no formal deterministic safety-envelope check on LLM output.",Typed MCP tool-call schemas (Zod-validated) plus WoT Thing Description affordances; not free-form NL transcript.,"yes(total LLM token consumption per run, via API usage metadata) — no network bits/bandwidth or comm-cost metric.",no,"yes — 10 independent runs per (model, mission) with identical initial conditions, noting non-determinism arises solely from LLM inference.","6 LLMs (GPT5.2, DeepSeek V3.2, GLM4.7, Grok4.1 Fast, Claude Haiku 4.5, Qwen3 8B) x 4 missions (coverage w/ and w/o planner, formation, irrigation), 10 runs each, ArduPilot SITL, 10-drone swarm.","General-purpose LLMs struggle at reliable swarm execution without explicit grounding; agent-enhanced execution (MCP/WoT abstraction, planning tools, runtime guardrails) substantially improves robustness; token use doesn't predict success.","The paper uses one centralized LLM per mission, not one LLM per vehicle, so it never addresses cross-vehicle Byzantine reasoning faults, receiver-side filtering, or quorum consensus among distributed agents. It also does not model jamming, link degradation, or network partitions, and its only safety gating is input-schema/state validation at the device Servient, not a deterministic override envelope on control-loop actuation.",0,2,0,0,0,1,1,0,2
2605.07764v1,LLM-per-robot / UAV swarm,CommandSwarm,CommandSwarm: Safety-Aware Natural Language-to-Behavior-Tree Generation for Robotic Swarms,2026-05-08,NEW — found by gap search,single centralized LLM converts one operator command into a swarm-wide XML behavior tree; no per-vehicle LLM instances and no multi-LLM debate,"simulated robots (Violet, a lightweight PyGame-based swarm simulator); paper explicitly notes real-robot transfer (Crazyflie/ePuck) is future work","none modeled; the only adversarial concern addressed is unsafe/ambiguous natural-language user commands, not compromised or colluding robot/agent nodes",none stated,"none; there is no peer-message aggregation across agents — a single generated BT is validated by a deterministic parser/whitelist, not combined with other model outputs",not analyzed; no inter-robot communication graph or topology is modeled at all,"yes — deterministic parser checks XML well-formedness, required BT structure, and whitelisted action/condition nodes before the tree is passed to the simulator/middleware for execution","typed/structured XML behavior-tree schema (root, BehaviorTree, TreeNodesModel elements) generated from a free-form NL command; not a peer-to-peer packet format",no; paper measures translation and generation latency (seconds per utterance/sentence) but does not measure tokens/bits per round or inter-agent communication cost,"no; no jamming, link degradation, or network partition is modeled — communication discussed is only the human-to-system speech/text channel, not inter-robot links",no; the paper reports BLEU/ROUGE-L/syntactic-validity averages across prompting conditions and models but does not test output repeatability across seeds/runs,"Eleven open 6.7B-14B LLMs at 4-bit quantization on representative swarm-control scenarios, zero-/one-/two-shot; BLEU, ROUGE-L and parser-accepted syntactic validity; LoRA adaptation on a 2,063-example synthetic instruction-BT corpus; no multi-agent adversary, no swarm flight.","Compact, quantized, LoRA-adapted open LLMs embedded in a parser-validated, safety-filtered pipeline can reliably convert multilingual commands into executable swarm BTs, with LoRA lifting zero-shot syntactic validity from 0% to 72%.","CommandSwarm has no notion of multiple robots each running an LLM, no receiver-side voting/Byzantine-fault filtering across agent outputs, and no fault-tolerance bound or robust-graph analysis for inter-robot communication. It also does not model a contested/jammed channel, does not evaluate output determinism across repeated runs, and its single safety gate is a deterministic XML/whitelist parser on one generated tree, not a quorum-based override mechanism across independently reasoning vehicles.",0,0,0,0,0,2,1,0,0
2607.09756v1,LLM-per-robot / UAV swarm,LAUS (LLM-Centric Agentic AI for UAV Swarms),"LLM-Centric Agentic AI for UAV Swarms: Architecture, Enabling Technologies, and Open Problems",2026-07-05,NEW — found by gap search,"Single LLM Agent depicted as the central reasoning/planning module for the swarm; paper does not describe one LLM instance per physical UAV, nor multi-LLM debate",UAV/vehicle sim with dynamics+comm model — Python testbed with discrete-time kinematic UAV simulator and probabilistic LoS channel model for the PMA case study; rest of paper is conceptual/architectural,"Gray-box adversary with read-write access to structured observation between perception and LLM input (Priority Manipulation Attack); also discusses prompt injection, memory/RAG poisoning, malicious tool feedback as insider-like threats; no formal Byzantine peer-agent model",none stated,"none — no peer-agent voting or cross-agent aggregation described; case study uses a single LLM agent making scheduling decisions, validated only by a Safety Validator",not analyzed,"yes — architecture includes a Safety Validator (policy + constraints) gating LLM outputs before reaching flight controller, but in the PMA case study this gate is not shown to catch the attack","structured JSON prompts encoding real-time sensor state (queue length, residual energy, channel/path-loss metrics) fed to the LLM","no — paper discusses latency (TTFT, round-trip tool-call time) qualitatively but does not measure tokens/bits per round or comm cost","no — case study manipulates structured observation values (queue, energy, path loss) directly rather than modeling jamming or link degradation; jamming/DoS discussed qualitatively elsewhere as a threat class but not simulated","partial — reports mean/std/95% CI and Wilcoxon test over N=30 seeded runs showing PMA effect is consistent across all runs, but does not evaluate output repeatability under identical unperturbed inputs as a determinism metric per se","GPT-4o-mini agent scheduling 3 UAVs over 20 ground sensors in 100x100m area, 30-timestep horizon, N=30 seeded runs, compared clean vs PMA (3x intensity on 3 targeted sensors) against ICLDC baseline; Wilcoxon signed-rank and Friedman tests","Manipulating only structured perception-layer observations (queue, energy, channel) before LLM input, with no model-parameter access, deterministically redirects all UAVs to attacker-chosen sensors, causing 14.2x packet-loss cost degradation across all 30 runs","The paper uses a single centralized LLM scheduler, not one LLM per vehicle, and has no receiver-side cross-checking, quorum, or Byzantine filtering among peer agents — the demonstrated attack succeeds precisely because there is no redundant agent to cross-verify the tampered observation. It also does not model a contested/jamming channel or measure bandwidth, and its Safety Validator/kill-switch gate is only architecturally proposed, not exercised or shown effective against the PMA in the reported experiment.",0,1,1,0,0,1,1,0,1
AACP,Agent messaging protocol,AACP (IETF I-D),"Agent Action Compression Protocol (AACP) Version 1.4 — draft-mackay-aacp-03 (2026-06-17, expires 2026-12-19)",2026,[7] cited,"protocol specification, agent-count agnostic",none — software agent workflows,"none — malformed/unvalidated messages are the concern, not adversarial agents",none stated,"none — a message format, not a consensus protocol",n/a,"partial — packets are schema-validated before transmission and logged as audit records, but there is no physical safety envelope","typed, deterministic, machine-parseable coordination packets replacing free-form NL",compression of NL instructions is the stated purpose; no contested-link budget,no,deterministic parsing and consistent replay across runs are design goals,"specification document (16 pages), no experiments","A coordination content layer beneath MCP/A2A: what agents say, typed and replayable.","Standardises the packet, not the decision — nothing in AACP tells a receiver which of several conflicting typed packets to trust, so it cannot substitute for Byzantine filtering. It is an unadopted individual Internet-Draft with no swarm, no radio model, and no vehicle in the loop.",0,0,0,0,0,1,1,0,1
2605.25421v1,Agent messaging protocol,HyLaT,HyLaT: Efficient Multi-Agent Communication via Hybrid Latent-Text Protocol,2026-05-25,[8] cited,"N LLM agents (2-3 in experiments) debating/interacting over multiple rounds via a shared backbone model, no embodiment","text-only benchmark (multi-agent debate QA tasks, social simulation trust game)","none — paper does not model any adversary; agents are cooperative peers using a shared trusted backbone, first-round answers may be incorrect but this is treated as ordinary error, not adversarial behavior",none stated,"majority vote (Maj.) over agent outputs for evaluation; during interaction agents integrate peers' latent+text signals via attention/context concatenation, not an explicit robust-aggregation rule","not analyzed — described only as full mutual exchange among N agents each round (every agent receives all others' prior-round responses), no robustness/connectivity analysis","none — no actuators; final output is a text answer/commitment token, not checked against any deterministic safety envelope","hybrid: continuous latent vector sequence (k=6 tokens, delimited by <bot>/<eot>) for elaboration plus free-form natural-language text for concise conclusion/answer","yes (average token count per question and wall-clock inference time per question, Table 1)","no — no jamming, link degradation, or network partition modeled; only inference-time Gaussian noise injected into latent vectors (robustness test, not a channel/network attack)","no — no repeatability/consistency-across-seeds measurement reported; robustness is tested via noise magnitude sweep on accuracy, not seed variance","Llama-3.2-1B-Instruct backbone, LoRA fine-tuned, evaluated on multi-agent debate (3 agents, 2 rounds) across in-domain (CommonsenseQA, StrategyQA, SocialIQA, WorldTree, PubMedQA) and out-of-domain (MedQA, ARC-E, ARC-C) QA datasets, plus a repeated trust game social simulation; ablations vary channel design, training stages, agent count (N=2-5), and round count (T=2-5); scored on avg./majority accuracy, token count, wall-clock time, format error rate","A hybrid dual-channel protocol — routing verbose reasoning through compact latent vectors and concise final answers/commitments through natural text — resolves the efficiency/interpretability/versatility trilemma of single-channel multi-agent communication, cutting token/time cost roughly an order of magnitude versus text baselines while matching task accuracy, and remains robust to moderate Gaussian noise on latent vectors and interoperable with pure-text agents via the retained text channel.","HyLaT assumes all agents run a shared, cooperative, non-adversarial backbone model and never models faulty, hallucinating-adversarial, or colluding peers, nor any receiver-side filtering, quorum, or fault-tolerance bound on peer messages — it has no Byzantine model or robust-aggregation mechanism at all. It also has no actuators, no deterministic safety-envelope gating of outputs, no communication-graph robustness analysis, and no jamming/link-degradation/partition modeling — its only 'channel stress test' is Gaussian noise added to latent vectors offline, not a live contested network or a real control loop, so none of receiver-side Byzantine filtering, quorum voting, or deterministic override gating for vehicle control under jamming is addressed.",0,0,0,0,0,0,2,0,0
2606.05304v1,Agent messaging protocol,PACT,What Should Agents Say? Action-state Communication for Efficient Multi-Agent Systems,2026-06-03,[6] cited,"N LLM agents in a multi-agent system (2-agent split-evidence interaction, 4-agent sequential pipeline, or existing coding-harness agent loop); no physical embodiment or vehicles","text-only benchmark (QA datasets, math/science/commonsense benchmarks, and agentic coding harnesses OpenHands/SWE-agent on SWE-bench Verified)","none modeled; all agents are assumed cooperative and protocol-following, the only 'fault' considered is verbose/redundant/lossy free-form messages, not adversarial or hallucinating-adversary behavior",none stated,"none for PACT itself (projection/filtering of a single sender's message into action-state fields); baselines compared include majority-vote multi-agent debate, but PACT does not use voting or trimming","not analyzed; topologies are fixed small-scale (two-agent interaction, four-agent fixed-order pipeline, or single-agent tool loop), no robustness/connectivity analysis of communication graph",none — no actuators; in coding harnesses the agent output goes to tool calls directly with no deterministic safety envelope or schema check gating execution,"compact action-state schema (ACTION/STATE/RESULT fields), contrasted against free-form NL transcript, conclusion-only, brief summary, and artifact-only baselines","yes — tokens per problem, tokens-per-resolved, average completion tokens per call, total input tokens (e.g., 314.6M to 156.0M)","no; no jamming, link degradation, or network partition is modeled, communication channel is assumed reliable and lossless",no; no repeatability/consistency-across-seeds analysis reported,"Five inter-agent communication strategies across two MAS topologies, plus the OpenHands and SWE-agent coding harnesses; metrics are task performance against token cost (tokens-per-resolved, input tokens); no faulty or adversarial agents, no embodiment.","Restricting inter-agent messages to a compact action-state record (action taken, grounding state, resulting artifact) instead of free-form full-transcript communication substantially reduces token cost while preserving or improving task performance across MAS topologies and two production coding harnesses.","PACT addresses only content compression of messages between cooperative, non-adversarial LLM agents in text-based QA/coding tasks — it has no notion of Byzantine or hallucinating senders, no receiver-side cross-checking, voting, or quorum mechanism, and no fault-tolerance bound (f<n/3 or similar) is defined or evaluated. It has no physical embodiment, control loop, actuation gate, or deterministic safety envelope, and does not model or test any contested/jammed/degraded communication channel, so it provides no evidence about message robustness under adversarial or unreliable network conditions for a one-LLM-per-vehicle real-time control system.",0,0,0,0,0,0,2,0,0
LAMPORT,Classical resilient consensus / BFT,Byzantine Generals,The Byzantine Generals Problem (ACM TOPLAS 1982),1982,[11] cited,"no LLM; n processes, one commander",abstract distributed system,arbitrary traitorous processes including collusion and equivocation,n > 3m for oral messages; unlimited m with unforgeable signed messages,recursive majority over relayed messages,complete graph (oral-message case); 3m-regular connectivity results for partial graphs,none,abstract values / signed messages,"no — message complexity analysed, not bits on a contested link",no — reliable channels assumed,n/a,proofs only,Interactive consistency is impossible with three generals and one traitor; n>3m is necessary and sufficient for oral messages.,"Assumes exact agreement on a discrete value with reliable delivery — neither holds for LLM plans on a jammed mesh, where honest agents legitimately disagree in wording and messages are dropped. Provides no approximate-agreement notion and no way to judge whether a proposal is safe rather than merely agreed.",0,0,1,1,1,0,1,0,0
PBFT,Classical resilient consensus / BFT,PBFT,Practical Byzantine Fault Tolerance (USENIX OSDI 1999; TOCS 2002 extension 10.1145/571637.571640),1999,[12] cited,no LLM; replicated deterministic state machine with primary + backups,server replication (no physical plant),"arbitrary faulty replicas, independent failure assumed",n >= 3f+1,three-phase commit with 2f+1 quorum certificates and view change,all-to-all connectivity assumed,"none — safety means replica agreement, not physical safety",typed protocol messages with MACs,O(n^2) message complexity analysed,"partial — asynchrony tolerated for safety, liveness needs eventual synchrony; no jamming model",requires replicas to be deterministic — it does not make a stochastic agent deterministic,BFS filesystem benchmark on a LAN,Byzantine agreement is achievable with practical overhead in asynchronous systems using 3f+1 replicas.,"Requires every replica to compute the identical output from identical input, which a sampled LLM violates by construction, and needs O(n^2) all-to-all messaging that a sparse jammed mesh cannot sustain. It has no concept of a plan being unsafe if all replicas agree on it.",0,0,1,2,1,0,1,1,0
WMSR,Classical resilient consensus / BFT,W-MSR / r-robustness,Resilient Asymptotic Consensus in Robust Networks (IEEE JSAC 2013),2013,[10] cited,no LLM; n scalar-state agents running local consensus updates,"abstract networked dynamical system (no vehicle dynamics, no actuation stack)","malicious and Byzantine nodes, identities unknown; F-total and F-local models","(F+1,F+1)-robust graph tolerates F-total; (2F+1)-robust tolerates F-local",Weighted Mean-Subsequence-Reduced: each node discards F highest and F lowest neighbour values,"r-robustness and (r,s)-robustness, formally defined and proven","none — output is a consensus scalar, no safety envelope or schema validation",numeric scalar state only,no,"no — asynchronous/delayed updates considered, no jamming or RF model",n/a — the update rule is deterministic by construction,analytical proofs plus small numerical consensus simulations,Resilient asymptotic consensus is guaranteed iff the graph satisfies the stated robustness condition; connectivity/degree alone are insufficient.,"Operates on scalar numeric states, so it cannot filter semantically plausible natural-language plans — there is no metric space in which to trim an LLM proposal. It carries no notion of schema validity, safety envelope, actuation authority, or communication cost.",0,0,1,2,2,0,1,0,0
HOTSTUFF,Classical resilient consensus / BFT,HotStuff,HotStuff: BFT Consensus with Linearity and Responsiveness (ACM PODC 2019),2019,[13] cited,no LLM; leader-based replicated state machine,blockchain/servers,arbitrary faulty replicas,n >= 3f+1,"threshold-signature quorum certificates, three-chain commit rule","star per view (leader-centric), rotating leader",none,typed messages with threshold signatures,O(n) authenticator complexity per view — the paper's headline result,partial synchrony; no RF/jamming model,n/a,throughput/latency experiments up to 128 replicas,Linear communication complexity and optimistic responsiveness with a rotating leader.,"Re-introduces exactly the leader dependency the new architecture is trying to remove, and its liveness needs partial synchrony that a partitioned jammed mesh violates. Agreement is on opaque bytes, so nothing checks the semantic admissibility of what is being committed.",0,0,1,2,1,0,1,0,0
